EN,FR
i m at a loss for words .,j en perds mes mots .
i m at a loss for words .,les mots me manquent .
i m at a loss for words .,je ne trouve pas les mots .
you re in better shape than i am .,tu es en meilleure forme que moi .
you are in my way .,tu es sur mon chemin .
you are in my way .,vous etes sur mon chemin .
i m going to go .,je vais y aller .
you re so impatient with me .,tu es tellement impatiente avec moi .
he s kicking me !,il me donne des coups de pied !
i m so fat .,je suis si gros .
i m gonna shoot him .,je vais le descendre .
i m just saying !,je ne fais que parler !
she s asking how that s possible .,elle demande comment c est possible .
you re really not stupid .,t es vraiment pas bete .
i am curious .,je suis curieux .
i am not much of a traveller .,je ne suis pas un grand voyageur .
you re not fast enough .,tu n es pas assez rapide .
you re not fast enough .,vous n etes pas assez rapide .
you re not fast enough .,vous n etes pas assez rapides .
you re an angel !,t es un ange !
we re meeting up tomorrow ?,on se voit demain ?
he s very sexy .,il est tres sexy .
i m tired .,je suis fatigue !
i m tired .,je suis fatiguee .
i m tired .,je suis fatigue .
i m starving !,je meurs de faim !
i m starving !,je creve de faim .
i am married and have two children .,je suis mariee et j ai deux enfants .
i m undressing .,je me deshabille .
i m undressing .,je me devets .
you are the great love of my life .,tu es le grand amour de ma vie .
i m beside myself with joy .,je suis fou de joie .
he s already a man .,c est deja un homme .
i m afraid to fall .,j ai peur de tomber .
i m thirsty .,j ai soif .
you re my type .,tu es mon type .
you re irresistible .,t es irresistible .
she s really smart isn t she ?,elle est vraiment intelligente n est ce pas ?
i m almost done .,j ai presque fini .
i m not inspired anymore .,je ne suis plus inspiree .
i am too old for this world .,je suis trop vieux pour ce monde .
i am too old for this world .,je suis trop vieille pour ce monde .
he s sleeping like a baby .,il dort comme un bebe .
you re sick . you have to rest .,tu es malade tu dois te reposer .
she s asking for the impossible .,elle demande l impossible .
i m crazy about you .,je suis fou de toi .
i m crazy about you .,je suis fou de vous .
i m too lazy to do my homework .,j ai la flemme de faire mes devoirs .
i m running out of ideas .,je suis a court d idees .
i am four months pregnant .,je suis enceinte de quatre mois .
i m getting ready for the worst .,je me prepare au pire . . .
he s an old timer .,c est un vieux de la vieille .
she s rolling in money .,elle est toute cousue d or .
i m not convinced at all .,je ne suis pas du tout convaincu .
i m not convinced at all .,je ne suis pas du tout convaincue .
i m going to take my car .,je vais prendre ma voiture .
i m going to take my car .,je vais prendre mon char .
he s a good person .,c est quelqu un de bien .
he s a good person .,c est une bonne personne .
we are cut from the same cloth .,nous sommes de meme farine .
we are cut from the same cloth .,nous sommes de la meme etoffe .
i m going to take a bath .,je vais me baigner .
i m sorry i don t have change .,je regrette je n ai pas de monnaie .
i m glad to see you back .,je suis content de te revoir .
i m glad to see you back .,je suis content de vous revoir .
they are sensible girls .,ce sont des jeunes filles serieuses .
you are as tall as i am .,tu es aussi grand que moi .
i m taking a walk in a park .,je me promene dans un parc .
he s not working much at the moment .,il ne travaille pas beaucoup en ce moment .
he s moving in with his girlfriend .,il emmenage avec sa petite amie .
she is mad at me .,elle est en colere contre moi .
you are to come with me .,vous devez venir avec moi .
you are to come with me .,tu dois venir avec moi .
you are supposed to obey the law .,tu es cense respecter la loi .
you are not at all wrong .,tu n as pas tort du tout .
you are not at all wrong .,vous n avez pas tort du tout .
you are tired and so am i .,tu es fatigue et moi aussi .
you are tired aren t you ?,tu es fatigue non ?
you are tired aren t you ?,vous etes fatigues pas vrai ?
you are tired aren t you ?,vous etes fatigue n est ce pas ?
you are too sensitive to criticism .,tu es trop sensible a la critique .
you are too sensitive to criticism .,vous etes trop sensible a la critique .
you are expecting too much of her .,tu attends trop d elle .
you are not less pretty than her .,tu n es pas moins jolie qu elle .
you are selling him short .,tu le sous estimes .
you re required to help them .,on attend de vous que vous les aidiez .
i m certain of your success .,je suis certain de ton succes .
i m proud of you .,je suis fier de toi .
you are too critical of others shortcomings .,vous etes trop critique des defauts des autres .
you are too critical of others shortcomings .,tu es trop critique des defauts des autres .
you are a good student .,tu es un bon etudiant .
you are made to be a poet .,tu es fait pour etre poete .
you are made to be a poet .,tu as l ame d un poete .
you are way off track .,tu es hors piste .
you re going too far .,tu vas trop loin .
you are free to go out .,tu es libre de sortir .
you are welcome to do anything you like .,fais ce qu il te plait .
you are responsible for what you do .,tu es responsable de ce que tu fais .
you are responsible for what you do .,vous etes responsables de ce que vous faites .
you are responsible for what you do .,vous etes responsable de ce que vous faites .
you are to do as i tell you .,tu dois faire comme je te dis .
you are to do as i tell you .,vous devez faire comme je vous dis .
you are frustrated with your work .,tu es frustre par ton travail .
you are the master of your own destiny .,tu es le maitre de ton propre destin .
you are as white as a sheet .,vous etes blanc comme un drap .
you are as white as a sheet .,tu es blanc comme un cachet d aspirine .
you are nothing but a student .,tu n es qu un etudiant .
he is indeed a man of his word .,c est vraiment un homme de parole .
you re too suspicious about everything .,tu es trop suspicieux de tout .
you re too suspicious about everything .,tu es trop suspicieuse de tout .
you re too suspicious about everything .,vous etes trop suspicieux de tout .
you re too suspicious about everything .,vous etes trop suspicieuses de tout .
you re too suspicious about everything .,vous etes trop suspicieuse de tout .
you are not a coward .,tu n es pas un lache .
you are not a coward .,vous n etes pas un lache .
i m surprised that you re so naive .,je suis surpris que tu sois si naif .
i m surprised that you re so naive .,je suis surpris que vous soyez si naif .
i m surprised that you re so naive .,je suis surpris que vous soyez si naive .
i m surprised that you re so naive .,je suis surpris que tu sois si naive .
i m surprised that you re so naive .,je suis surpris que vous soyez si naifs .
